GrassEaten,Births,Population,TotalGrass
0,0,30,2
0,0,30,4
0,0,30,6
0,0,30,8
0,0,30,10
0,0,30,12
0,0,30,14
0,0,30,16
0,0,30,18
0,0,30,20
0,0,30,22
0,0,30,24
0,0,30,26
0,0,30,28
0,0,30,30
0,0,30,32
0,0,30,34
0,0,30,36
0,0,30,38
0,0,30,40
0,0,30,42
1,0,30,43
0,0,30,45
0,0,30,47
0,0,30,49
0,0,30,51
0,0,30,53
0,0,30,55
0,0,30,57
0,0,30,59
1,0,30,60
1,0,30,61
0,0,30,63
0,0,30,65
0,0,30,67
0,0,30,69
0,0,30,71
0,0,30,73
1,0,30,74
0,0,30,76
0,0,30,78
0,0,30,80
0,0,30,82
0,0,30,84
0,0,30,86
1,0,30,87
0,0,30,89
1,0,30,90
0,0,30,92
0,0,30,94
1,0,30,95
0,0,30,97
0,0,30,99
0,0,30,101
2,0,30,101
1,0,30,102
0,0,30,104
1,0,30,105
1,0,30,106
0,0,30,108
1,0,30,109
0,0,30,111
2,0,30,111
0,0,30,113
0,0,30,115
2,0,30,115
0,0,30,117
0,0,30,119
1,0,30,120
1,0,30,121
0,0,30,123
0,0,30,125
0,0,30,127
0,0,30,129
2,0,30,129
0,0,30,131
0,0,30,133
1,0,30,134
0,0,30,136
1,0,30,137
1,0,30,138
0,0,30,140
1,0,30,141
0,0,30,143
2,0,30,143
1,0,30,144
0,0,30,146
0,0,30,148
0,0,30,150
1,0,30,151
0,0,30,153
1,0,30,154
1,0,30,155
2,0,30,155
1,0,30,156
0,0,30,158
0,0,30,160
0,0,30,162
0,0,30,164
0,0,30,166
1,0,30,167
0,0,30,169
1,0,30,170
0,0,30,172
0,0,30,174
0,0,30,176
1,0,30,177
0,0,30,179
0,0,30,181
0,0,30,183
0,0,30,185
0,0,30,187
1,0,30,188
0,0,30,190
0,0,30,192
2,0,30,192
1,0,30,193
1,0,30,194
0,0,30,196
0,0,30,198
0,0,30,200
1,0,30,201
0,0,30,203
0,0,30,205
2,0,30,205
0,0,30,207
0,0,30,209
0,0,30,211
1,0,30,212
0,0,30,214
0,0,30,216
3,0,30,215
1,0,30,216
0,0,30,218
2,0,30,218
0,0,30,220
2,0,30,220
2,0,30,220
0,0,30,222
0,0,30,224
3,0,30,223
0,0,30,225
0,0,30,227
2,0,30,227
0,0,30,229
0,0,30,231
2,0,30,231
0,0,30,233
0,0,30,235
0,0,30,237
0,0,30,239
